日付,借方,貸方,伝票番号,概要
20240201,80,,IMG_5534,copy
20240201,50,,IMG_5535,copy
20240202,220,,IMG_5556,copy
20240222,800,,IMG_8487,本
20240222,1320,,IMG_8489,本
