日付,借方,貸方,伝票番号,概要
20240201,25440,,IMG_5774,
20240201,495,,IMG_5546,super
20240201,513,,IMG_5561,super
20240202,2999,,IMG_5745,
20240202,25440,,IMG_5766,
20240202,513,,IMG_5552,super
20240202,1160,,IMG_5555,super
20240202,453,,IMG_5571,
20240202,2690,,IMG_5581,super
20240202,3249,,IMG_5596,s
20240203,5940,,IMG_5798,
20240203,1250,,IMG_5537,
20240203,2698,,IMG_5545,super
20240203,2120,,IMG_5553,
20240203,935,,IMG_5572,
20240203,791,,IMG_5585,super
20240203,1056,,IMG_5594,s
20240203,1600,,IMG_5595,s
20240203,990,,IMG_5625,daiso
20240203,1316,,IMG_5628,s
20240204,110,,IMG_5763,s
20240204,4885,,IMG_5805,
20240204,2738,,IMG_5808,s
20240204,912,,IMG_5560,super
20240204,2295,,IMG_5583,
20240204,3831,,IMG_5624,s
20240204,946,,IMG_5627,s
20240204,1696,,IMG_5629,s
20240205,1199,,IMG_5547,
20240205,740,,IMG_5548,kusuri
20240205,5898,,IMG_5559,super
20240206,21700,,IMG_5764,
20240206,1347,,IMG_5610,s
20240206,3928,,IMG_5611,s
20240207,522,,IMG_5728,s
20240207,212,,IMG_5609,s
20240207,1229,,IMG_5661,s
20240208,714,,IMG_5804,super
20240208,2712,,IMG_5806,
20240208,990,,IMG_5569,
20240208,1512,,IMG_5671,s
20240208,6435,,IMG_5672 (1),
20240209,5729,,IMG_5636,セルシオ
20240209,2019,,IMG_5638,G super
20240209,4330,,IMG_5639,
20240209,880,,IMG_5640,飲食代
20240209,734,,IMG_5641,yoy
20240209,790,,IMG_5642,7i
20240209,1080,,IMG_5643,noodle
20240209,2132,,IMG_5800,s
20240209,1184,,IMG_5803,s
20240209,30500,,IMG_5659,universalStudio
20240209,4450,,IMG_5667,
20240209,3500,,IMG_5668,universal
20240209,550,,IMG_5669,
20240210,2030,,IMG_5807,s
20240210,1495,,IMG_5657,s
20240210,3700,,IMG_5666 (1),
20240210,3120,,IMG_6269,食事
20240211,5704,,IMG_5771,super-I
20240211,11902,,IMG_5670,
20240212,6550,,IMG_5772,super
20240212,179,,IMG_5777,s
20240212,2106,,IMG_5663,s
20240212,11150,,IMG_5664,
20240212,1080,,IMG_5665,
20240213,317,,IMG_5703,
20240213,1410,,IMG_5718,
20240213,1580,,IMG_5722,
20240213,1595,,IMG_5801,s
20240213,1731,,IMG_5802,kusuri
20240213,5455,,IMG_5662,s
20240214,250,,IMG_5704,
20240214,1750,,IMG_5708,
20240214,600,,IMG_6257,コーヒー代
20240215,507,,IMG_5706,s
20240215,880,,IMG_5719,
20240216,1930,,IMG_5702,
20240216,520,,IMG_5705,
20240216,1628,,IMG_5707,s
20240216,1939,,IMG_5720,
20240216,864,,IMG_5721,
20240216,4136,,IMG_5741,
20240217,400,,IMG_5725,s
20240217,250,,IMG_5726,s
20240217,3750,,IMG_8525,食事
20240218,1419,,IMG_5739,s
20240218,5149,,IMG_5765,s
20240218,2700,,IMG_6258,食事
20240218,3630,,IMG_6270,会食
20240218,4785,,IMG_8494,薬
20240219,3270,,IMG_5709,
20240219,220,,IMG_5770,super
20240220,220,,IMG_5775,s
20240220,972,,IMG_6267,お土産
20240221,990,,IMG_5743,
20240221,2619,,IMG_5767,super
20240221,321,,IMG_5773,s
20240221,2752,,IMG_8485,LAWSON
20240222,1040,,IMG_5742,
20240222,110,,IMG_5746,s
20240222,1145,,IMG_5750,s
20240222,734,,IMG_8467,S
20240222,850,,IMG_8523,食事
20240223,6490,,IMG_5738,
20240223,828,,IMG_5747,s
20240223,2350,,IMG_5748,s
20240223,19030,,IMG_8483,服
20240224,7580,,IMG_8458,服
20240224,8931,,IMG_8491,S
20240224,4002,,IMG_8492,S
20240224,1720,,IMG_8495,LAWSON
20240225,4020,,IMG_6268,食事
20240226,569,,IMG_5953,OK
20240227,760,,IMG_5954,OK
20240227,2640,,IMG_6259,食事
20240229,574,,IMG_5955,OK
20240229,816,,IMG_5956,OK
