日付,借方,貸方,伝票番号,概要
20240201,,25440,IMG_5774,
20240201,,80,IMG_5534,copy
20240201,,50,IMG_5535,copy
20240201,,495,IMG_5546,super
20240201,,513,IMG_5561,super
20240202,,1220,IMG_5714,
20240202,,2999,IMG_5745,
20240202,,25440,IMG_5766,
20240202,,15113,IMG_5787,super
20240202,,513,IMG_5552,super
20240202,,1160,IMG_5555,super
20240202,,220,IMG_5556,copy
20240202,,453,IMG_5571,
20240202,,2690,IMG_5581,super
20240202,,3249,IMG_5596,s
20240203,,5940,IMG_5798,
20240203,,1250,IMG_5537,
20240203,,2698,IMG_5545,super
20240203,,2120,IMG_5553,
20240203,,935,IMG_5572,
20240203,,791,IMG_5585,super
20240203,,1056,IMG_5594,s
20240203,,1600,IMG_5595,s
20240203,,990,IMG_5625,daiso
20240203,,1316,IMG_5628,s
20240204,,110,IMG_5763,s
20240204,,5468,IMG_5796,
20240204,,4885,IMG_5805,
20240204,,2738,IMG_5808,s
20240204,,912,IMG_5560,super
20240204,,2295,IMG_5583,
20240204,,11888,IMG_5613,nojima
20240204,,3831,IMG_5624,s
20240204,,946,IMG_5627,s
20240204,,1696,IMG_5629,s
20240205,,1199,IMG_5547,
20240205,,740,IMG_5548,kusuri
20240205,,5898,IMG_5559,super
20240205,,602,IMG_5614,s
20240206,,21700,IMG_5764,
20240206,,5900,IMG_5597,jins
20240206,,3740,IMG_5602 (1),
20240206,,1347,IMG_5610,s
20240206,,3928,IMG_5611,s
20240207,,522,IMG_5728,s
20240207,,212,IMG_5609,s
20240207,,1229,IMG_5661,s
20240208,,510,IMG_6055,
20240208,,47940,IMG_6056 (1),
20240208,,714,IMG_5804,super
20240208,,2712,IMG_5806,
20240208,,2738,IMG_5816,
20240208,,990,IMG_5569,
20240208,,500,IMG_5617,s
20240208,,1512,IMG_5671,s
20240208,,6435,IMG_5672 (1),
20240209,,5729,IMG_5636,セルシオ
20240209,,2019,IMG_5638,G super
20240209,,4330,IMG_5639,
20240209,,880,IMG_5640,飲食代
20240209,,734,IMG_5641,yoy
20240209,,790,IMG_5642,7i
20240209,,1080,IMG_5643,noodle
20240209,,1151,IMG_5786,s
20240209,,2132,IMG_5800,s
20240209,,1184,IMG_5803,s
20240209,,30500,IMG_5659,universalStudio
20240209,,4450,IMG_5667,
20240209,,3500,IMG_5668,universal
20240209,,550,IMG_5669,
20240210,,2450,IMG_5757,
20240210,,11691,IMG_5791,
20240210,,2419,IMG_5797,
20240210,,2030,IMG_5807,s
20240210,,1495,IMG_5657,s
20240210,,3700,IMG_5666 (1),
